"","location","type.name","player.name","shot.outcome.name"
"221","98, 22","Shot","Kevin De Bruyne","Off T"
"222","103, 56","Shot","Eden Hazard","Off T"
"223","109, 54","Shot","Eden Hazard","Saved"
"224","104, 37","Shot","Román Aureliano Torres Morcillo","Wayward"
"225","103, 50","Shot","Dries Mertens","Off T"
"226","92, 53","Shot","Armando Enrique Cooper Whitaker","Off T"
"227","105, 59","Shot","Dries Mertens","Goal"
"228","97, 26","Shot","Kevin De Bruyne","Off T"
"229","111, 49","Shot","Michael Amir Murillo Bermudez","Saved"
"230","111, 38","Shot","Román Aureliano Torres Morcillo","Off T"
"231","99, 33","Shot","Edgar Yoel Bárcenas Herrera","Off T"
"232","94, 37","Shot","Kevin De Bruyne","Blocked"
"233","114, 43","Shot","Romelu Lukaku Menama","Goal"
"234","110, 29","Shot","Romelu Lukaku Menama","Goal"
"235","95, 29","Shot","Eden Hazard","Blocked"
"236","96, 19","Shot","Fidel Escobar Mendieta","Saved"
"237","113, 39","Shot","Jesse Lingard","Saved"
"238","108, 41","Shot","Harry Maguire","Off T"
"239","97, 36","Shot","Harry Kane","Blocked"
"240","112, 47","Shot","John Stones","Saved"
"241","116, 46","Shot","Harry Kane","Goal"
"242","94, 48","Shot","Jordan Brian Henderson","Saved"
"243","91, 21","Shot","Naïm Sliti","Off T"
"244","116, 50","Shot","Jesse Lingard","Off T"
"245","98, 46","Shot","Ferjani Sassi","Blocked"
"246","108, 36","Shot","Fakhreddine Ben Youssef","Wayward"
"247","111, 58","Shot","Harry Maguire","Saved"
"248","108, 40","Shot","Ferjani Sassi","Goal"
"249","118, 47","Shot","Bamidele Alli","Blocked"
"250","117, 37","Shot","Raheem Shaquille Sterling","Wayward"
"251","114, 39","Shot","John Stones","Wayward"
"252","106, 41","Shot","Jesse Lingard","Blocked"
"253","108, 54","Shot","Jesse Lingard","Post"
"254","112, 40","Shot","Bamidele Alli","Saved"
"255","106, 40","Shot","John Stones","Wayward"
"256","93, 27","Shot","Kieran Trippier","Off T"
"257","106, 60","Shot","Wahbi Khazri","Blocked"
"258","93, 43","Shot","Naïm Sliti","Off T"
"259","96, 34","Shot","Ashley Young","Off T"
"260","116, 36","Shot","Harry Kane","Goal"
"261","85, 51","Shot","Mikael Lustig","Blocked"
"262","113, 38","Shot","Marcus Berg","Saved"
"263","109, 39","Shot","Pontus Jansson","Off T"
"264","111, 32","Shot","Andreas Granqvist","Blocked"
"265","112, 34","Shot","Marcus Berg","Blocked"
"266","106, 56","Shot","Jae-Sung Lee","Blocked"
"267","90, 24","Shot","Emil Forsberg","Blocked"
"268","118, 29","Shot","Marcus Berg","Wayward"
"269","94, 29","Shot","Emil Forsberg","Blocked"
"270","104, 28","Shot","Andreas Granqvist","Saved"
"271","111, 38","Shot","Viktor Claesson","Blocked"
"272","99, 37","Shot","Emil Forsberg","Off T"
"273","107, 30","Shot","Ja-Cheol Koo","Off T"
"274","113, 37","Shot","Ola Toivonen","Saved"
"275","97, 25","Shot","Min-Woo Kim","Blocked"
"276","109, 41","Shot","Andreas Granqvist","Goal"
"277","83, 47","Shot","Sebastian Larsson","Blocked"
"278","98, 33","Shot","Emil Forsberg","Blocked"
"279","99, 48","Shot","Viktor Claesson","Wayward"
"280","100, 56","Shot","Seung-Woo Lee","Blocked"
"281","110, 38","Shot","Hee-Chan Hwang","Off T"
"282","84, 34","Shot","Salif Sané","Off T"
"283","95, 35","Shot","Piotr Zieliński","Blocked"
"284","111, 49","Shot","Kamil Grosicki","Off T"
"285","101, 46","Shot","Robert Lewandowski","Off T"
"286","99, 48","Shot","Idrissa Gana Gueye","Blocked"
"287","114, 43","Shot","Salif Sané","Off T"
"288","98, 62","Shot","Idrissa Gana Gueye","Blocked"
"289","96, 47","Shot","Robert Lewandowski","Saved"
"290","109, 35","Shot","Sadio Mané","Blocked"
"291","108, 40","Shot","Mame Biram Diouf","Wayward"
"292","113, 53","Shot","Łukasz Piszczek","Off T"
"293","113, 40","Shot","M""Baye Babacar Niang","Goal"
"294","92, 46","Shot","Kamil Grosicki","Blocked"
"295","116, 46","Shot","Arkadiusz Milik","Off T"
"296","111, 45","Shot","Dawid Kownacki","Saved"
"297","114, 39","Shot","Grzegorz Krychowiak","Goal"
"298","88, 38","Shot","Kamil Grosicki","Wayward"
"299","100, 22","Shot","Roman Zobnin","Blocked"
"300","110, 38","Shot","Sergei Ignashevich","Saved"
"301","96, 37","Shot","Aleksandr Golovin","Off T"
"302","99, 48","Shot","Denis Cheryshev","Blocked"
"303","116, 33","Shot","Marwan Mohsen","Blocked"
"304","105, 24","Shot","Mahmoud Ibrahim Hassan","Off T"
"305","92, 34","Shot","Denis Cheryshev","Off T"
"306","89, 32","Shot","Yury Gazinskiy","Off T"
"307","99, 28","Shot","Mahmoud Ibrahim Hassan","Blocked"
"308","117, 25","Shot","Marwan Mohsen","Wayward"
"309","113, 34","Shot","Marwan Mohsen","Off T"
"310","90, 39","Shot","Denis Cheryshev","Wayward"
"311","107, 41","Shot","Marwan Mohsen","Saved"
"312","113, 47","Shot","Artem Dzyuba","Off T"
"313","104, 46","Shot","Mohamed Salah","Off T"
"314","97, 55","Shot","Roman Zobnin","Blocked"
"315","107, 33","Shot","Mohamed Salah","Blocked"
"316","111, 47","Shot","Denis Cheryshev","Goal"
"317","108, 44","Shot","Artem Dzyuba","Goal"
"318","107, 49","Shot","Ali Gabr","Off T"
"319","101, 40","Shot","Mahmoud Ibrahim Hassan","Off T"
"320","90, 34","Shot","Abdalla Mahmoud El Said Bekhit","Off T"
"321","108, 40","Shot","Mohamed Salah","Goal"
"322","117, 34","Shot","Sergei Ignashevich","Saved"
"323","102, 38","Shot","Mohamed Salah","Blocked"
"324","102, 59","Shot","Amr Medhat Warda","Off T"
"325","93, 50","Shot","Tarek Hamed","Blocked"
"326","104, 48","Shot","Yūya Ōsako","Saved"
"327","103, 39","Shot","Shinji Kagawa","Blocked"
"328","108, 40","Shot","Shinji Kagawa","Goal"
"329","112, 43","Shot","Radamel Falcao García Zárate","Saved"
"330","108, 30","Shot","Takashi Inui","Off T"
"331","93, 49","Shot","Juan Fernando Quintero Paniagua","Blocked"
"332","110, 34","Shot","Oscar Fabián Murillo Murillo","Wayward"
"333","101, 60","Shot","Juan Guillermo Cuadrado Bello","Blocked"
"334","112, 26","Shot","Yūya Ōsako","Wayward"
"335","109, 45","Shot","Radamel Falcao García Zárate","Saved"
"336","100, 60","Shot","Juan Fernando Quintero Paniagua","Goal"
"337","117, 30","Shot","Yūya Ōsako","Saved"
"338","106, 28","Shot","Takashi Inui","Saved"
"339","113, 39","Shot","Maya Yoshida","Off T"
"340","110, 57","Shot","Hiroki Sakai","Off T"
"341","105, 25","Shot","Takashi Inui","Blocked"
"342","96, 60","Shot","Keisuke Honda","Saved"
"343","114, 49","Shot","Hiroki Sakai","Blocked"
"344","117, 39","Shot","Yūya Ōsako","Goal"
"345","112, 54","Shot","James David Rodríguez Rubio","Blocked"
"346","113, 47","Shot","Jefferson Andrés Lerma Solís","Wayward"
"347","109, 31","Shot","Carlos Arturo Bacca Ahumada","Blocked"
"348","111, 42","Shot","Oscar Fabián Murillo Murillo","Wayward"
"349","108, 43","Shot","Yūya Ōsako","Wayward"
"350","109, 30","Shot","Khalid Boutaïb","Off T"
"351","91, 39","Shot","Raphaël Adelino José Guerreiro","Blocked"
"352","115, 41","Shot","Cristiano Ronaldo dos Santos Aveiro","Goal"
"353","108, 56","Shot","Cristiano Ronaldo dos Santos Aveiro","Off T"
"354","114, 33","Shot","Medhi Amine El Mouttaqi Benatia","Saved"
"355","109, 45","Shot","Manuel Marouan da Costa Trinidade","Off T"
"356","109, 26","Shot","Hakim Ziyech","Blocked"
"357","92, 25","Shot","Hakim Ziyech","Saved"
"358","108, 44","Shot","Khalid Boutaïb","Wayward"
"359","100, 34","Shot","Cristiano Ronaldo dos Santos Aveiro","Blocked"
"360","87, 28","Shot","Karim El Ahmadi Al Aroos","Off T"
"361","109, 34","Shot","Gonçalo Manuel Ganchinho Guedes","Saved"
"362","112, 41","Shot","Younès Belhanda","Off T"
"363","111, 42","Shot","José Miguel da Rocha Fonte","Off T"
"364","107, 31","Shot","Gonçalo Manuel Ganchinho Guedes","Wayward"
"365","103, 53","Shot","Cristiano Ronaldo dos Santos Aveiro","Off T"
"366","105, 57","Shot","Younès Belhanda","Saved"
"367","112, 50","Shot","Younès Belhanda","Saved"
"368","107, 42","Shot","Medhi Amine El Mouttaqi Benatia","Off T"
"369","113, 34","Shot","Mbark Boussoufa","Wayward"
"370","96, 54","Shot","Hakim Ziyech","Off T"
"371","93, 17","Shot","Cristiano Ronaldo dos Santos Aveiro","Blocked"
"372","113, 47","Shot","Medhi Amine El Mouttaqi Benatia","Off T"
"373","86, 54","Shot","Nabil Dirar","Off T"
"374","97, 52","Shot","Bruno Miguel Borges Fernandes","Off T"
"375","102, 31","Shot","Cristiano Ronaldo dos Santos Aveiro","Blocked"
"376","112, 50","Shot","Hakim Ziyech","Blocked"
"377","111, 38","Shot","Medhi Amine El Mouttaqi Benatia","Off T"
"378","90, 21","Shot","Bruno Miguel Borges Fernandes","Off T"
"379","101, 62","Shot","Daniel Carvajal Ramos","Off T"
"380","95, 26","Shot","Vahid Amiri","Off T"
"381","114, 45","Shot","Diego da Silva Costa","Wayward"
"382","93, 37","Shot","Karim Ansarifard","Off T"
"383","97, 48","Shot","David Josué Jiménez Silva","Blocked"
"384","88, 34","Shot","Sergio Ramos García","Blocked"
"385","95, 49","Shot","David Josué Jiménez Silva","Saved"
"386","113, 40","Shot","David Josué Jiménez Silva","Off T"
"387","98, 61","Shot","Francisco Román Alarcón Suárez","Off T"
"388","113, 36","Shot","David Josué Jiménez Silva","Blocked"
"389","96, 29","Shot","Francisco Román Alarcón Suárez","Blocked"
"390","104, 48","Shot","David Josué Jiménez Silva","Blocked"
"391","114, 41","Shot","Gerard Piqué Bernabéu","Blocked"
"392","96, 43","Shot","Sergio Busquets i Burgos","Saved"
"393","113, 31","Shot","Diego da Silva Costa","Wayward"
"394","105, 51","Shot","Francisco Román Alarcón Suárez","Off T"
"395","104, 28","Shot","Karim Ansarifard","Off T"
"396","107, 36","Shot","Diego da Silva Costa","Goal"
"397","112, 39","Shot","Mehdi Taremi","Off T"
"398","109, 46","Shot","Sergio Ramos García","Blocked"
"399","118, 39","Shot","Gerard Piqué Bernabéu","Blocked"
"400","99, 56","Shot","Francisco Román Alarcón Suárez","Blocked"
"401","117, 47","Shot","Mehdi Taremi","Off T"
"402","109, 37","Shot","Sardar Azmoun","Wayward"
"403","101, 30","Shot","Luis Alberto Suárez Díaz","Blocked"
"404","93, 31","Shot","Mohammed Al Burayk","Blocked"
"405","110, 34","Shot","Edinson Roberto Cavani Gómez","Off T"
"406","119, 53","Shot","Luis Alberto Suárez Díaz","Off T"
"407","111, 57","Shot","Fahad Mosaed Al Muwallad Al Harbi","Off T"
"408","114, 43","Shot","Luis Alberto Suárez Díaz","Goal"
"409","110, 52","Shot","Edinson Roberto Cavani Gómez","Blocked"
"410","96, 58","Shot","Hattan Babhir","Saved"
"411","112, 49","Shot","Hattan Babhir","Off T"
"412","83, 40","Shot","Salem Mohammed Al Dawsari","Off T"
"413","87, 42","Shot","Luis Alberto Suárez Díaz","Saved"
"414","112, 47","Shot","Carlos Andrés Sánchez Arcosa","Off T"
"415","105, 59","Shot","Luis Alberto Suárez Díaz","Blocked"
"416","114, 43","Shot","José Martín Cáceres Silva","Off T"
"417","112, 34","Shot","José Martín Cáceres Silva","Blocked"
"418","92, 40","Shot","Lucas Torreira Di Pascua","Blocked"
"419","105, 45","Shot","Edinson Roberto Cavani Gómez","Off T"
"420","104, 41","Shot","Edinson Roberto Cavani Gómez","Saved"
