,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
340,0,13,0,1369,3,0,0.7404731763526797,Marcello Trotta,F S,0,8,"Frosinone,Sassuolo",393,0.47802185267210007,0.7404731763526797,1.7247306369245052,2.9432256622239947,0
341,0,15,0,1370,3,0,0.07481884956359863,Federico Ceccherini,D S,0,1,Fiorentina,987,0.3928831499069929,0.07481884956359863,1.8617452159523964,1.884853906929493,2
342,0,4,0,1374,0,0,0.0,José Reina,GK S,0,0,AC Milan,329,0.0,0.0,0.34056511521339417,0.34056511521339417,0
343,2,27,0,1375,15,0,0.6815831437706947,Elseid Hysaj,D S,0,13,Napoli,2113,0.658389151096344,0.6815831437706947,11.747709592804313,12.327230386435986,4
344,0,17,0,1377,4,0,0.07519904524087906,Nikola Maksimovic,D S,0,2,Napoli,1375,0.14170317212119699,0.07519904524087906,7.98744734749198,8.010364945977926,4
345,0,13,0,1380,5,0,0.2876544101163745,Amadou Diawara,M S,0,9,Napoli,655,0.140038775280118,0.2876544101163745,5.9760180078446865,6.363016426563263,4
346,0,13,0,1381,16,0,0.422624746337533,Marek Hamsik,M S,0,15,Napoli,923,0.5766341183334589,0.422624746337533,6.299959857016802,6.827970456331968,1
347,0,2,0,1388,0,0,0.0,Rafael Cabral,GK,0,0,Sampdoria,180,0.0,0.0,0.0,0.0,0
348,0,37,0,1392,1,0,0.0,Luigi Sepe,GK,0,0,Parma Calcio 1913,3330,0.056852564215660095,0.0,3.4262924129143357,3.483144977129996,1
349,0,3,0,1395,0,0,0.254192590713501,Vlad Chiriches,D,0,1,Napoli,148,0.0,0.254192590713501,0.7010442446917295,0.7010442446917295,0
350,0,20,0,1398,1,0,0.7096548937261105,Bartosz Salamon,D S,0,11,Frosinone,1724,0.05206392705440521,0.7096548937261105,1.797003117389977,1.8592800311744213,3
351,5,35,0,1400,31,0,0.30721882078796625,Nicola Murru,D S,0,16,Sampdoria,2941,3.808824853040278,0.30721882078796625,6.622721962630749,9.540129540488124,9
352,2,30,0,1403,15,0,0.10694584995508194,Simone Padoin,D M S,0,3,Cagliari,1913,1.083296226337552,0.10694584995508194,4.249876806512475,4.751268891617656,2
353,0,27,0,1408,6,0,0.6968153463676572,Marco Capuano,D,1,7,Frosinone,2323,0.2839134894311428,0.6968153463676572,2.4310704171657562,2.58712737262249,5
354,0,1,0,1411,0,0,0.0,Gianni Munari,S,0,0,Parma Calcio 1913,1,0.0,0.0,0.0,0.0,0
355,0,11,0,1412,2,0,0.5810223445296288,Daniele Dessena,M S,0,5,Cagliari,338,0.10260636359453201,0.5810223445296288,0.11125954426825047,0.6922819018363953,3
356,1,27,0,1422,20,0,0.469620312564075,Borja Valero,M S,0,12,Inter,1215,1.1871468061581254,0.469620312564075,5.884300302714109,7.158597387373447,4
357,0,21,0,1439,4,0,0.1983234789222479,Domenico Maietta,D,0,7,Empoli,1723,0.15683969110250473,0.1983234789222479,3.1324388347566128,3.291576573625207,5
358,0,20,0,1440,2,0,0.6433274410665035,Filip Helander,D S,0,10,Bologna,1711,0.15625452622771263,0.6433274410665035,2.5964670423418283,2.8134747315198183,6
359,0,14,0,1443,9,0,0.09789492189884186,Ádám Nagy,M S,1,6,Bologna,968,0.46522266883403063,0.09789492189884186,2.3395181577652693,2.628854368813336,2
360,3,18,0,1447,17,0,0.44281125627458096,Ladislav Krejci,D M S,0,9,Bologna,1055,2.4827998522669077,0.44281125627458096,3.376363728195429,5.308757111430168,2
361,0,6,0,1452,1,0,0.10717372596263885,Godfred Donsah,M S,0,2,Bologna,144,0.0112516013905406,0.10717372596263885,0.11665068101137877,0.22382440697401762,0
362,0,6,0,1454,0,0,0.0,Alex Ferrari,D,0,0,Sampdoria,540,0.0,0.0,0.4185062376782298,0.4185062376782298,2
363,0,20,0,1455,0,0,0.0,Alfred Gomis,GK S,0,0,SPAL 2013,1722,0.0,0.0,2.687233366072178,2.687233366072178,0
364,0,5,0,1456,3,0,0.10791574325412512,Federico Viviani,M,0,4,Frosinone,342,0.13593364506959915,0.10791574325412512,0.9118473213165998,1.0418324070051312,1
365,0,36,0,1460,0,0,0.0,Andrea Consigli,GK,1,0,Sassuolo,3216,0.0,0.0,3.3968760669231415,3.3968760669231415,2
366,0,26,0,1466,6,0,0.21409185696393251,Francesco Magnanelli,M S,1,9,Sassuolo,1869,0.15712168626487255,0.21409185696393251,6.138702318072319,6.4347867257893085,3
367,0,10,0,1477,3,0,0.43883622996509075,Luca Mazzitelli,M S,0,5,Genoa,311,0.07354990020394325,0.43883622996509075,0.8000752031803131,1.2331081852316856,3
368,0,3,0,1480,0,0,0.0,Gianluca Pegolo,GK S,0,0,Sassuolo,200,0.0,0.0,0.3675927445292473,0.3675927445292473,1
369,0,18,0,1483,0,0,0.0,Etrit Berisha,GK,0,0,Atalanta,1620,0.0,0.0,3.2167981322854757,3.2167981322854757,1
370,2,24,0,1485,7,0,1.0805332865566015,Andrea Masiello,D S,0,8,Atalanta,1852,0.6637377683073282,1.0805332865566015,6.126395422965288,6.976931676268578,5
371,2,12,0,1487,6,0,0.0,Andrea Conti,D S,0,0,AC Milan,492,1.363514006137848,0.0,2.169941484928131,3.1887946911156178,3
372,0,25,0,1497,8,0,1.1844105646014214,Ervin Zukanovic,D M S,0,19,Genoa,1959,0.29957682732492685,1.1844105646014214,3.325581731274724,3.5027958638966084,5
373,1,10,0,1500,8,0,0.33847406692802906,Leonardo Spinazzola,D M S,0,8,Juventus,598,0.8270610403269529,0.33847406692802906,2.114433191716671,3.0437242686748505,0
374,0,35,0,1501,0,0,0.0,Marco Sportiello,GK,0,0,Frosinone,3150,0.0,0.0,2.334416418336332,2.334416418336332,5
375,2,24,0,1502,21,0,1.0458081988617778,Marco D&#039;Alessandro,D M S,0,11,Udinese,1500,1.4907078384421766,1.0458081988617778,1.8087158612906933,3.870302828028798,3
376,0,7,0,1504,2,0,0.8799521028995514,Alberto Grassi,M S,0,5,Parma Calcio 1913,460,0.1518155187368393,0.8799521028995514,0.28349088225513697,1.2840899983420968,0
377,0,38,0,1505,0,0,0.0,Samir Handanovic,GK,0,0,Inter,3420,0.0,0.0,4.684540206566453,4.684540206566453,0
378,0,14,0,1507,2,0,0.22687163297086954,Miranda,D,0,4,Inter,1172,0.09435059316456318,0.22687163297086954,3.3253453793004155,3.3495253017172217,3
379,1,17,0,1509,14,0,0.1291444469243288,Davide Santon,D S,0,3,Roma,1001,0.6551678264513612,0.1291444469243288,2.748899929225445,3.1434570914134383,0
380,0,4,0,1522,0,0,0.10337916761636734,Andrea Ranocchia,S,0,2,Inter,51,0.0,0.10337916761636734,0.07526290416717529,0.17864206805825233,1
381,0,17,0,1532,1,0,0.0,Emiliano Viviano,GK,0,0,SPAL 2013,1527,0.025808582082390785,0.0,0.39673621440306306,0.42254479648545384,0
382,1,12,0,1534,3,0,0.13081032037734985,Giancarlo Gonzalez,D S,0,2,Bologna,744,0.97873255610466,0.13081032037734985,1.088895390741527,1.088895390741527,2
383,1,28,0,1542,9,0,0.5198165662586689,Stefan Radu,D,0,9,Lazio,2262,1.1139229387044907,0.5198165662586689,7.861971102654934,8.380956254899502,5
384,0,17,0,1555,0,0,0.0,Bartlomiej Dragowski,GK S,0,0,"Empoli,Fiorentina",1484,0.0,0.0,1.7308782981708646,1.7308782981708646,2
385,0,9,0,1559,7,0,0.28941785357892513,Filippo Costa,M S,0,6,SPAL 2013,557,0.4172483179718256,0.28941785357892513,0.2506189104169607,0.6186023261398077,0
386,0,7,0,1563,1,0,0.0,Jordan Lukaku,M S,0,0,Lazio,169,0.04785674810409546,0.0,0.7771220058202744,0.8249787539243698,1
387,1,32,0,1587,32,0,0.15552971325814724,Kwadwo Asamoah,D M S,0,9,Inter,2672,1.8259168900549412,0.15552971325814724,12.82976247370243,13.523964568972588,6
388,1,13,0,1590,7,0,0.27848286740481853,Luca Antonelli,D M S,0,5,Empoli,766,0.6752980686724186,0.27848286740481853,1.584819939918816,2.365117792971432,1
389,0,14,0,1597,14,0,0.017696833238005638,Cristian Molinaro,D M S,0,1,Frosinone,1159,0.8308847416192293,0.017696833238005638,1.2584013659507036,1.9074605870991945,3
390,0,18,0,1600,9,0,0.5070669054985046,Jonathan Biabiany,F M S,0,4,Parma Calcio 1913,1072,1.161269429139793,0.5070669054985046,0.8746476098895073,2.4273645505309105,4
391,0,34,0,1603,27,0,0.47808598540723324,Simone Missiroli,M S,0,15,SPAL 2013,2762,1.2079330841079354,0.47808598540723324,4.653550421819091,5.598255854099989,9
392,0,3,0,1608,0,0,0.0,Salvador Ichazo,GK S,0,0,Torino,251,0.0,0.0,0.10388368368148804,0.10388368368148804,0
393,0,11,0,1609,0,0,0.0,Antonio Mirante,GK,0,0,Roma,990,0.0,0.0,0.9038806483149529,0.9038806483149529,0
394,4,33,0,1624,31,0,1.5557897351682186,Fabio Depaoli,D F M S,2,12,Chievo,2468,3.46424278896302,1.5557897351682186,4.131565706804395,8.329003407619894,10
395,1,20,0,1634,4,0,0.5012875664979219,Alessandro Deiola,M S,0,14,"Cagliari,Parma Calcio 1913",979,0.35887102596461773,0.5012875664979219,0.2958493512123823,1.055587756447494,5
396,0,12,0,1639,0,0,0.02575511671602726,Sebastiano Luperto,D S,0,2,Napoli,718,0.0,0.02575511671602726,4.887812405824661,4.887812405824661,0
397,0,19,0,1797,4,0,0.5538380704820156,Lorenzo Ariaudo,D,0,6,Frosinone,1686,0.5444601410999894,0.5538380704820156,2.03062997572124,2.0461238343268633,2
398,0,1,0,1812,0,0,0.12808354198932648,Alejandro Rodriguez,S,0,1,Empoli,24,0.0,0.12808354198932648,0.018632544204592705,0.14671608805656433,0
399,0,33,0,1830,3,0,0.0,Ionut Radu,GK,0,0,Genoa,2970,0.08764670602977276,0.0,1.6794446613639593,1.7394767571240664,0
400,0,20,0,1841,1,0,0.0,Pierluigi Gollini,GK,0,0,Atalanta,1800,0.022796545177698135,0.0,4.27966682985425,4.302463341504335,1
401,0,10,0,1864,3,0,0.4680902734398842,Mirko Gori,M S,0,4,Frosinone,311,0.0656521413475275,0.4680902734398842,0.28376391902565956,0.8175063207745552,3
402,1,10,0,1871,8,0,0.20831645466387272,Danilo Soddimo,M S,0,6,Frosinone,236,0.4600591640919447,0.20831645466387272,0.13818985596299171,0.48734340630471706,2
403,0,1,0,1881,0,0,0.0,Guido Guerrieri,GK,0,0,Lazio,90,0.0,0.0,0.5502496361732483,0.5502496361732483,0
404,0,14,0,1892,0,0,0.0,Alex Meret,GK S,1,0,Napoli,1151,0.0,0.0,2.048410227522254,2.048410227522254,0
405,2,34,0,1896,17,0,1.2741410387679935,Riccardo Gagliolo,D,0,21,Parma Calcio 1913,3046,2.387488096021116,1.2741410387679935,4.242849312722683,6.380531286820769,7
406,1,12,0,1905,4,0,1.4857803070917726,Antonio Di Gaudio,F S,0,12,Parma Calcio 1913,715,0.33033526316285133,1.4857803070917726,0.10771330073475838,1.6004445338621736,0
407,0,13,0,1942,1,0,0.5037454748526216,Martín Cáceres,D M S,0,7,"Juventus,Lazio",930,0.014615330845117569,0.5037454748526216,1.9351449683308601,2.0500307604670525,1
408,0,2,0,1945,0,0,0.012275736778974533,Marco Tumminello,S,0,1,Atalanta,6,0.0,0.012275736778974533,0.0,0.0,1
409,1,2,0,1946,1,0,0.09689565561711788,Pepín,M S,0,2,Parma Calcio 1913,77,0.23218993842601776,0.09689565561711788,0.09582669287919998,0.4249122869223356,0
410,2,10,0,1951,16,0,0.02542737126350403,Sime Vrsaljko,D M S,0,2,Inter,725,0.9736906066536903,0.02542737126350403,2.3308762405067682,2.6037168353796005,2
411,0,3,0,1989,0,0,0.0,Francesco Bardi,GK,0,0,Frosinone,270,0.0,0.0,0.04828223958611488,0.04828223958611488,0
412,2,6,0,1997,3,0,0.1743745133280754,Andrea Favilli,S,0,5,Genoa,151,0.7459896802902222,0.1743745133280754,0.4377727769315243,1.299908634275198,0
413,0,1,0,2005,0,0,0.07396835833787918,Jacopo Dezi,M,0,2,Parma Calcio 1913,90,0.0,0.07396835833787918,0.028454817831516266,0.10242317616939545,0
414,0,7,0,2010,4,0,0.6774876210838556,Simone Edera,F M S,0,9,"Bologna,Torino",273,0.2775229215621948,0.6774876210838556,0.26334151066839695,0.9783100746572018,1
415,0,18,0,2058,0,0,0.3338152840733528,Filippo Romagna,D S,0,4,Cagliari,1473,0.0,0.3338152840733528,1.372280285693705,1.372280285693705,2
416,0,3,0,2354,0,0,0.0,Mauricio Lemos,D,0,0,Sassuolo,184,0.0,0.0,0.16826238296926022,0.16826238296926022,0
417,0,11,0,2603,0,0,0.12888333294540644,Marco Andreolli,D S,0,3,"Cagliari,Chievo",746,0.0,0.12888333294540644,0.738020159304142,0.738020159304142,3
