,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
436,1,30,0,6239,23,0,2.0744708720594645,Junior Sambia,F M S,0,23,Montpellier,878,1.2948112152516842,2.0744708720594645,1.8322546854615211,3.6622214503586292,3
437,0,12,0,6263,0,0,0.06644116900861263,Kouadio Dabila,D S,0,2,Lille,778,0.0,0.06644116900861263,2.198545290157199,2.198545290157199,2
438,1,9,0,6280,3,0,0.10951271653175354,Racine Coly,D M S,0,4,Nice,504,0.23491499572992325,0.10951271653175354,1.39554344676435,1.518367012962699,2
439,0,5,0,6281,1,0,0.11809156090021133,Bongani Zungu,M S,0,1,Amiens,233,0.023563338443636894,0.11809156090021133,1.5414372626692057,1.6830921117216349,2
440,0,33,0,6292,1,0,0.0,Tomas Koubek,GK S,0,0,Rennes,2923,0.01915435492992401,0.0,2.59249419067055,2.611648545600474,1
441,0,8,0,6293,0,0,0.0,Gerzino Nyamsi,D S,1,0,Rennes,537,0.0,0.0,0.7504277229309082,0.7504277229309082,0
442,0,3,0,6305,2,0,0.0,Ismail Aaneb,D M,0,0,Strasbourg,208,0.415448822081089,0.0,0.498569056391716,0.5461823269724846,3
443,0,20,0,6308,5,0,0.14160155318677425,Jessy Deminguet,F M S,0,7,Caen,1270,0.08252977672964334,0.14160155318677425,1.3750382494181395,1.4921156102791429,2
444,3,23,0,6318,22,0,0.3961947225034237,Lionel Carole,D M S,0,8,Strasbourg,1734,1.6606077933683991,0.3961947225034237,2.346610153093934,3.5824846867471933,2
445,0,1,0,6332,0,0,0.0,Willem Geubbels,S,0,0,Monaco,7,0.0,0.0,0.0,0.0,0
446,0,2,0,6360,1,0,0.007515063509345055,Antoine Bernede,M,0,1,Paris Saint Germain,174,0.03677820786833763,0.007515063509345055,0.15636691264808178,0.19314511865377426,0
447,1,29,0,6379,15,0,0.255510694347322,Yoel Armougom,D M S,1,11,Caen,1835,1.356433194130659,0.255510694347322,2.154743066057563,3.229371248744428,4
448,1,29,0,6380,12,0,0.11594037432223558,Anthony Caci,D M S,0,6,Strasbourg,2305,0.7558776028454304,0.11594037432223558,2.8765195477753878,3.2530704960227013,1
449,0,7,0,6396,1,0,1.3476024642586708,Jordi Mboula,M S,0,9,Monaco,279,0.06317541748285294,1.3476024642586708,0.3678869232535362,1.5697435177862644,1
450,0,1,0,6420,1,0,0.14327213168144226,Romain Faivre,M,0,2,Monaco,90,0.023720405995845795,0.14327213168144226,0.023720405995845795,0.16699253022670746,1
451,1,37,0,6433,9,0,1.1549599915742874,Jules Koundé,D,0,13,Bordeaux,3330,0.5455886386334896,1.1549599915742874,6.557065278291702,6.9951217249035835,4
452,0,12,0,6436,3,0,0.0,Stanley N&#039;Soki,D S,0,0,Paris Saint Germain,698,0.11266991309821606,0.0,2.5080306343734264,2.5897062979638577,2
453,0,1,0,6452,0,0,0.0,Mahdi Camara,S,0,0,Saint-Etienne,8,0.0,0.0,0.0,0.0,0
454,0,15,0,6464,6,0,0.24455801863223314,Adrien Silva,M S,0,9,Monaco,1183,0.4897287115454674,0.24455801863223314,2.8770988564938307,3.3488111700862646,6
455,0,1,0,6486,0,0,0.0,Timo Stavitski,S,0,0,Caen,13,0.0,0.0,0.0,0.0,0
456,0,3,0,6489,0,0,0.0,Steven Fortes,D S,0,0,Toulouse,133,0.0,0.0,0.03100602887570858,0.03100602887570858,0
457,0,4,0,6501,1,0,0.0,Andy Pelmard,D,0,0,Nice,285,0.03529300168156624,0.0,0.8148983828723431,0.850191380828619,0
458,0,3,0,6535,1,0,0.3834725022315979,Julien Serrano,M S,0,1,Monaco,117,0.07354739308357239,0.3834725022315979,0.0,0.4570198953151703,1
459,0,1,0,6553,0,0,0.0,Yannis Ammour,S,0,0,Montpellier,1,0.0,0.0,0.0,0.0,0
