player_name,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Luke Shaw,29,Manchester United,2594,English Premier League,0.03469545104086353,0.03469545104086353,0.05321823937980689,0.7286044718581342,0.05321823937980689,0.4239235500214117,0.5194532166112361
Matej Vydra,13,Burnley,308,English Premier League,0.29220779220779225,0.29220779220779225,0.5611267990081922,1.7532467532467533,0.5611267990081922,0.12034809942562859,0.5595818003518629
Mario Lemina,21,Southampton,1617,English Premier League,0.05565862708719852,0.05565862708719852,0.0502404213946914,1.391465677179963,0.0502404213946914,0.18736055594262477,0.2531545231177546
Manolo Gabbiadini,12,Southampton,459,English Premier League,0.19607843137254904,0.19607843137254904,0.34499659276037825,3.9215686274509807,0.34499659276037825,0.12686080171489247,0.33262980280115323
Michael Keane,33,Everton,2970,English Premier League,0.030303030303030304,0.030303030303030304,0.060711995444514555,0.9393939393939394,0.060711995444514555,0.2069551506728837,0.22373450773231915
Ben Gibson,1,Burnley,67,English Premier League,1.3432835820895521,1.3432835820895521,1.2247965584939984,1.3432835820895521,1.2247965584939984,0.0,0.0
Isaac Success,30,Watford,1015,English Premier League,0.08866995073891625,0.08866995073891625,0.29150693937035027,2.571428571428571,0.29150693937035027,0.1784292522615987,0.5724259967287185
Fernando Llorente,20,Tottenham,674,English Premier League,0.13353115727002968,0.13353115727002968,0.46725087265763154,3.2047477744807122,0.46725087265763154,0.04599823434049544,0.6073237387380545
Jack Stephens,24,Southampton,1695,English Premier League,0.05309734513274336,0.05309734513274336,0.07742384392603309,0.37168141592920356,0.07742384392603309,0.17009868682156096,0.19352717842675943
Lys Mousset,24,Bournemouth,308,English Premier League,0.29220779220779225,0.29220779220779225,0.4463350256396965,3.5064935064935066,0.4463350256396965,0.19333440737871382,0.6186148705710839
Ainsley Maitland-Niles,16,Arsenal,976,English Premier League,0.09221311475409837,0.09221311475409837,0.0936422196262684,0.4610655737704918,0.0936422196262684,0.2185063468498468,0.3952675471349513
Trent Alexander-Arnold,29,Liverpool,2475,English Premier League,0.03636363636363636,0.03636363636363636,0.05426465144211595,1.0545454545454547,0.05426465144211595,0.3894344845956022,0.5130732131275264
Antonio Rüdiger,33,Chelsea,2875,English Premier League,0.03130434782608696,0.03130434782608696,0.08330269373953342,0.8452173913043478,0.08330269373953342,0.24495029076933858,0.27399875171806504
Danilo,11,Manchester City,806,English Premier League,0.11166253101736973,0.11166253101736973,0.04664935148494415,1.5632754342431763,0.04664935148494415,0.8669990048773826,0.9058296867177149
Luciano Vietto,20,Fulham,975,English Premier League,0.09230769230769231,0.09230769230769231,0.2622279447431748,2.2153846153846155,0.2622279447431748,0.3067326111289171,0.7654784138959189
Jonny,33,Wolverhampton Wanderers,2792,English Premier League,0.032234957020057305,0.032234957020057305,0.0595893321544156,0.8058739255014327,0.0595893321544156,0.14418145324794687,0.22357660737342303
Christian Atsu,28,Newcastle United,1464,English Premier League,0.06147540983606557,0.06147540983606557,0.1319602044245808,1.7213114754098362,0.1319602044245808,0.15468885915995131,0.3540505359872992
André Gomes,27,Everton,2001,English Premier League,0.04497751124437781,0.04497751124437781,0.06263494424555432,0.9445277361319341,0.06263494424555432,0.25575827357584036,0.30816114805024425
Jon Gorenc Stankovic,11,Huddersfield,728,English Premier League,0.12362637362637363,0.12362637362637363,0.18019986236570298,1.1126373626373627,0.18019986236570298,0.05646371390097416,0.15132116105223262
Issa Diop,33,West Ham,2970,English Premier League,0.030303030303030304,0.030303030303030304,0.038204060020771896,0.36363636363636365,0.038204060020771896,0.12533512118865142,0.1333218916234645
Rachid Ghezzal,19,Leicester,731,English Premier League,0.12311901504787962,0.12311901504787962,0.16909289190344381,2.339261285909713,0.16909289190344381,0.15999652184138302,0.3089460372292882
Jean Michael Seri,32,Fulham,2274,English Premier League,0.0395778364116095,0.0395778364116095,0.032481620098048905,0.7519788918205804,0.032481620098048905,0.31881986128161394,0.3646626264854559
Floyd Ayité,16,Fulham,441,English Premier League,0.20408163265306123,0.20408163265306123,0.07229817689073328,1.4285714285714284,0.07229817689073328,0.07865686881907132,0.21187670832994032
Fabinho,28,Liverpool,2006,English Premier League,0.044865403788634094,0.044865403788634094,0.05135078119635879,0.7627118644067796,0.05135078119635879,0.35750341162471805,0.4184372948365637
João Moutinho,38,Wolverhampton Wanderers,3053,English Premier League,0.02947920078611202,0.02947920078611202,0.014897795980372197,0.5306256141500163,0.014897795980372197,0.22930007727491517,0.2801783457691264
Hélder Costa,25,Wolverhampton Wanderers,1345,English Premier League,0.06691449814126393,0.06691449814126393,0.17802219848982903,1.6728624535315986,0.17802219848982903,0.116321760932586,0.3776994480242517
Kiko Femenía,29,Watford,2034,English Premier League,0.04424778761061947,0.04424778761061947,0.022094316895952263,0.2654867256637168,0.022094316895952263,0.21539340694064063,0.25983300035308415
Domingos Quina,8,Watford,328,English Premier League,0.27439024390243905,0.27439024390243905,0.05411360725169864,1.371951219512195,0.05411360725169864,0.5971662934142641,0.6431643544446406
Isaac Mbenza,22,Huddersfield,956,English Premier League,0.09414225941422594,0.09414225941422594,0.08499640486277173,1.506276150627615,0.08499640486277173,0.05948905357662355,0.20614110001569383
Christopher Schindler,37,Huddersfield,3266,English Premier League,0.027556644213104716,0.027556644213104716,0.028695392742324154,0.35823637477036135,0.028695392742324154,0.06941212887550088,0.08827717209420756
Solly March,35,Brighton,2480,English Premier League,0.036290322580645164,0.036290322580645164,0.07979753601830453,1.5604838709677418,0.07979753601830453,0.10575949561016093,0.2639896765148507
Davy Pröpper,30,Brighton,2554,English Premier League,0.03523884103367267,0.03523884103367267,0.03348803704133375,0.5285826155050901,0.03348803704133375,0.1744285700645826,0.1978658796809526
Dale Stephens,30,Brighton,2485,English Premier League,0.03621730382293763,0.03621730382293763,0.00903702813614782,0.39839034205231383,0.00903702813614782,0.15434297559486793,0.1726477651199105
Phil Foden,13,Manchester City,316,English Premier League,0.2848101265822785,0.2848101265822785,0.640752845785663,3.9873417721518987,0.640752845785663,0.49798741264716734,1.2362347980607535
Isaac Hayden,25,Newcastle United,1865,English Premier League,0.0482573726541555,0.0482573726541555,0.04173147272887882,1.061662198391421,0.04173147272887882,0.13660779982885152,0.2602983089937921
Terence Kongolo,32,Huddersfield,2728,English Premier League,0.032991202346041054,0.032991202346041054,0.046968208946822944,0.46187683284457476,0.046968208946822944,0.05658450372219413,0.10746507274527703
Victor Lindelöf,30,Manchester United,2604,English Premier League,0.03456221198156682,0.03456221198156682,0.029058940579882966,0.2764976958525346,0.029058940579882966,0.27572563778574705,0.3019536037023785
Davinson Sánchez,23,Tottenham,1943,English Premier League,0.04632012352032939,0.04632012352032939,0.07525137146312708,0.6484817292846115,0.07525137146312708,0.284255257329788,0.28540438717893574
Juan Foyth,12,Tottenham,889,English Premier League,0.10123734533183353,0.10123734533183353,0.07106519271740093,0.4049493813273341,0.07106519271740093,0.33000414698679076,0.36252368505545485
Beram Kayal,18,Brighton,937,English Premier League,0.096051227321238,0.096051227321238,0.027841943412573896,0.48025613660619,0.027841943412573896,0.11477542717085322,0.1853319055330219
Eddie Nketiah,5,Arsenal,54,English Premier League,1.6666666666666665,1.6666666666666665,0.4494123409191767,5.0,0.4494123409191767,1.1476992567380269,1.5971116721630096
Michael Obafemi,6,Southampton,131,English Premier League,0.6870229007633587,0.6870229007633587,1.300936472097426,4.809160305343512,1.300936472097426,0.2641165995870837,1.6002736803684525
Yerry Mina,13,Everton,891,English Premier League,0.10101010101010102,0.10101010101010102,0.07545281982406823,0.4040404040404041,0.07545281982406823,0.19219779588206845,0.19389884621657502
Harvey Barnes,16,Leicester,1014,English Premier League,0.08875739644970415,0.08875739644970415,0.32160245543400917,3.5502958579881656,0.32160245543400917,0.2972209625519239,0.6956782112085431
Fred,17,Manchester United,1045,English Premier League,0.0861244019138756,0.0861244019138756,0.0779074184623275,1.464114832535885,0.0779074184623275,0.48359687508721105,0.6192012611491401
Sean Morrison,34,Cardiff,3043,English Premier League,0.02957607624055209,0.02957607624055209,0.1492703977924525,1.005586592178771,0.1492703977924525,0.054298091209712414,0.09570365228711324
Danny Ward,14,Cardiff,426,English Premier League,0.2112676056338028,0.2112676056338028,0.12946559116244316,2.323943661971831,0.12946559116244316,0.048004042121096394,0.16441315019004782
Tom Cairney,31,Fulham,2207,English Premier League,0.04077933846850929,0.04077933846850929,0.04670028220718676,0.978704123244223,0.04670028220718676,0.25046973657597227,0.3514966136836255
Ken Sema,17,Watford,772,English Premier League,0.11658031088082901,0.11658031088082901,0.1011508225265485,1.3989637305699483,0.1011508225265485,0.1908688932908168,0.37739193395088994
Ryan Fredericks,15,West Ham,1077,English Premier League,0.08356545961002786,0.08356545961002786,0.04466495328792955,0.41782729805013924,0.04466495328792955,0.14050819540090215,0.19508325321013548
Fabián Balbuena,23,West Ham,2013,English Premier League,0.044709388971684055,0.044709388971684055,0.11287023438260117,0.8494783904619971,0.11287023438260117,0.16579204673383346,0.166853791943872
Kenneth Zohore,19,Cardiff,735,English Premier League,0.12244897959183673,0.12244897959183673,0.198005167425287,2.0816326530612246,0.198005167425287,0.027831214727187636,0.3045273003909661
Bernard,34,Everton,2146,English Premier League,0.04193849021435228,0.04193849021435228,0.11293819031824824,0.9645852749301025,0.11293819031824824,0.20807620313258116,0.41657848121339713
Sean Longstaff,9,Newcastle United,694,English Premier League,0.12968299711815562,0.12968299711815562,0.09772694030889345,1.037463976945245,0.09772694030889345,0.2774545379111849,0.38031339590365243
Kadeem Harris,13,Cardiff,346,English Premier League,0.26011560693641617,0.26011560693641617,0.23113546281988392,1.300578034682081,0.23113546281988392,0.056292615572496645,0.4130321016502862
Aron Gunnarsson,28,Cardiff,2296,English Premier League,0.039198606271777,0.039198606271777,0.09239224876027281,0.7839721254355401,0.09239224876027281,0.06660016710328048,0.13126949560244403
Juninho Bacuna,21,Huddersfield,1418,English Premier League,0.06346967559943582,0.06346967559943582,0.05045839824433975,1.2059238363892806,0.05045839824433975,0.07006832857567644,0.135937744412671
Jannik Vestergaard,23,Southampton,2033,English Premier League,0.0,0.0,0.029988043409700293,0.6197737333989178,0.029988043409700293,0.19139679654538486,0.2102696355129924
Bernd Leno,32,Arsenal,2833,English Premier League,0.0,0.0,0.0,0.0,0.0,0.09644711735644212,0.09644711735644212
Andreas Christensen,8,Chelsea,614,English Premier League,0.0,0.0,0.0,0.0,0.0,0.3538145257178269,0.3538145257178269
Håvard Nordtveit,5,Fulham,361,English Premier League,0.0,0.0,0.0,0.0,0.0,0.15294212878906166,0.1775441504498928
Elias Kachunga,20,Huddersfield,1181,English Premier League,0.0,0.0,0.07440328395355313,1.0668924640135478,0.07440328395355313,0.061284274960553414,0.12680342409895398
Sead Kolasinac,24,Arsenal,1897,English Premier League,0.0,0.0,0.019502766807423685,0.42698998418555617,0.019502766807423685,0.4324638317832522,0.5641435788582047
Artur Boruc,12,Bournemouth,1080,English Premier League,0.0,0.0,0.0,0.0,0.0,0.1252775589625041,0.1252775589625041
Simon Francis,17,Bournemouth,1220,English Premier League,0.0,0.0,0.008937778760541658,0.2213114754098361,0.008937778760541658,0.3201197411742856,0.33658775372705496
Andrew Surman,18,Bournemouth,1440,English Premier League,0.0,0.0,0.017114482005126774,0.5625,0.017114482005126774,0.22386404452845454,0.25264200533274567
Mamadou Sakho,27,Crystal Palace,2418,English Premier League,0.0,0.0,0.030768662875994265,0.1488833746898263,0.030768662875994265,0.1927522822253166,0.19342017847647147
Adam Lallana,13,Liverpool,459,English Premier League,0.0,0.0,0.059549371693648545,0.9803921568627452,0.059549371693648545,0.24745539488161314,0.3412923625871247
Petr Cech,7,Arsenal,587,English Premier League,0.0,0.0,0.0,0.0,0.0,0.08179837190490565,0.08179837190490565
Héctor Bellerín,19,Arsenal,1539,English Premier League,0.0,0.0,0.056307209405111296,1.0526315789473684,0.056307209405111296,0.3458030822507122,0.5054335697003972
