player.name,xG,goal
Roberto Firmino Barbosa de Oliveira,1.17,1
Rodrigo Bentancur Colmán,0.22,0
Rodrigo Moreno Machado,0.25,0
Romain Saïss,0.13,0
Roman Zobnin,0.3400000000000001,0
Romelu Lukaku Menama,1.48,4
Román Aureliano Torres Morcillo,0.75,0
Roozbeh Cheshmi,0.06,0
Ruben Loftus-Cheek,0.29000000000000004,0
Rui Pedro dos Santos Patrício,0.13,0
Rúrik Gíslason,0.03,0
Sadio Mané,0.5900000000000001,1
Saeid Ezatolahi Afagh,0.06,0
Salem Mohammed Al Dawsari,0.32,1
Salif Sané,0.24000000000000002,0
Salman Mohammed Al Faraj,0.3,1
Saman Ghoddos,0.06,0
Sami Khedira,0.22,0
Samuel Yves Umtiti,0.12,1
Santiago Arias Naranjo,0.03,0
Sardar Azmoun,0.51,0
Saîf-Eddine Khaoui,0.11,0
Sebastian Larsson,0.04,0
Sebastian Rudy,0.03,0
Seon-Min Moon,0.09,0
Sergei Ignashevich,0.64,2
Sergej Milinković-Savić,0.28,0
Sergio Busquets i Burgos,0.45000000000000007,0
Sergio Leonel Agüero del Castillo,0.5,2
Sergio Ramos García,0.47000000000000003,1
Seung-Woo Lee,0.03,0
Shinji Kagawa,0.29000000000000004,1
Shinji Okazaki,0.13,0
Simon Thorup Kjær,0.13,1
Stephan Lichtsteiner,0.14,0
Steven Zuber,0.6100000000000001,1
Sung-Yeung Ki,0.23,0
Sverrir Ingi Ingason,0.39,0
Takashi Inui,0.5800000000000001,2
Takashi Usami,0.22,0
Tarek Hamed,0.07,0
Thiago Alcântara do Nascimento,0.09,0
Thiago Emiliano da Silva,1.26,1
Thomas Delaney,0.24000000000000002,0
Thomas Lemar,0.03,0
Thomas Meunier,0.35000000000000003,1
Thomas Müller,0.35,0
Thorgan Hazard,0.15,0
Tim Cahill,0.19,0
Timo Werner,0.6300000000000001,0
Toby Alderweireld,0.4,0
Tom Rogić,0.25,0
Tomoaki Makino,0.30000000000000004,0
Toni Kroos,0.6200000000000001,1
Trent Alexander-Arnold,0.03,0
Trent Sainsbury,0.6599999999999999,0
Vahid Amiri,0.06,0
Valon Behrami,0.04,0
Victor Moses,0.43,1
Viktor Claesson,0.5900000000000001,0
Viktor Fischer,0.03,0
Vincent Kompany,0.49,0
Víctor Yoshimar Yotún Flores,0.12,0
