,assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
42,2,32,6,171,28,5,9.943926157429814,Michael Gregoritsch,F M S,0,85,Augsburg,2499,2.454625617712736,10.701702894642949,5.329403329640627,14.628476664423943,4
43,5,26,6,194,34,6,4.000786122865975,Admir Mehmedi,F M S,0,36,Wolfsburg,1708,4.055429518222809,4.000786122865975,5.427406335249543,10.254322627559304,1
44,9,32,6,224,60,6,10.931043595075607,Thomas Müller,F M S,0,64,Bayern Munich,2403,10.700434368103743,10.931043595075607,14.559249624609947,26.969431936740875,1
45,4,21,6,226,28,6,4.4566438011825085,Kingsley Coman,F M S,0,31,Bayern Munich,1404,4.450504168868065,4.4566438011825085,6.537651047110558,13.872018299996853,2
46,3,25,6,329,21,6,3.7647796738892794,Franck Ribéry,F M S,0,26,Bayern Munich,1156,2.6179905645549297,3.7647796738892794,7.420075301080942,12.259533889591694,3
47,3,30,6,360,27,6,9.767590679228306,Ádám Szalai,F M S,0,66,Hoffenheim,1598,3.5363070564344525,9.767590679228306,3.521763738244772,15.872498340904713,3
48,2,24,6,426,13,6,3.7904729917645454,Daniel Ginczek,F S,0,35,Wolfsburg,1276,1.815759631805122,3.7904729917645454,2.911572804674506,7.245268432423472,4
49,1,28,6,7046,27,6,7.402998942881823,Hendrik Weydandt,F M S,0,60,Hannover 96,1713,3.8218317925930023,7.402998942881823,1.3139902297407389,11.716996630653739,1
50,2,26,5,122,10,5,2.7120205154642463,Claudio Pizarro,F S,0,25,Werder Bremen,657,0.6810035044327378,2.7120205154642463,1.552149958908558,4.449489310383797,1
51,4,34,5,125,45,5,2.1614345964044333,Maximilian Eggestein,M,0,45,Werder Bremen,3055,4.325668844394386,2.1614345964044333,12.670132983475924,16.85382306203246,4
52,0,21,5,170,14,5,2.584734819829464,Nicolai Müller,F M S,0,23,"Eintracht Frankfurt,Hannover 96",1122,0.9344358239322901,2.584734819829464,0.3526321295648813,3.3984912894666195,3
53,4,19,5,186,26,5,3.378678824752569,Karim Bellarabi,F M S,1,43,Bayer Leverkusen,1051,5.568164240568876,3.378678824752569,2.758352469652891,10.652594812214375,4
54,2,22,5,254,18,4,2.8734544226899743,Steven Zuber,F M S,0,48,"Hoffenheim,VfB Stuttgart",1641,1.9285200517624617,3.631231114268303,4.103203454986215,8.093780726194382,4
55,5,27,5,320,34,4,4.092340964823961,Jonas Hofmann,F M S,0,36,Borussia M.Gladbach,1911,3.5495259054005146,5.607894320040941,7.619252687320113,13.461799453943968,2
56,1,22,5,1669,16,5,4.3087097723037004,Marko Grujic,F M S,0,46,Hertha Berlin,1780,1.6590892653912306,4.3087097723037004,3.584167432039976,7.942870469763875,5
57,2,24,5,3962,7,5,2.9699360989034176,Anastasios Donis,F M S,0,30,VfB Stuttgart,952,1.0992842055857182,2.9699360989034176,1.406468192115426,4.735503954812884,4
58,1,29,5,5221,46,5,5.087038887664676,Leon Bailey,F M S,0,56,Bayer Leverkusen,1940,4.0920423194766045,5.087038887664676,4.180707693099976,11.00974546931684,4
59,1,20,5,5356,19,5,5.006021734327078,Breel Embolo,F M S,0,26,Schalke 04,1357,2.9739879071712494,5.006021734327078,0.7916443180292845,6.738540716469288,4
60,1,26,5,5358,20,5,2.0344541035592556,Lukas Klostermann,D M S,0,13,RasenBallsport Leipzig,1995,1.9851509034633636,2.0344541035592556,3.8021948374807835,7.231759320944548,1
61,4,33,5,6045,38,5,3.195349228568375,Davy Klaassen,M,0,33,Werder Bremen,2830,3.543053456582129,3.195349228568375,7.757610280066729,13.430128650739789,5
62,1,31,5,6484,14,5,2.922866964712739,Renato Steffen,D F M S,0,27,Wolfsburg,1505,1.8282394651323557,2.922866964712739,4.074940698221326,7.7119027860462666,4
63,0,22,4,119,12,4,4.29241993650794,Anthony Ujah,F S,0,27,Mainz 05,707,1.96692262776196,4.29241993650794,1.134032903239131,5.395477548241615,2
64,2,30,4,267,62,4,2.465568876825273,Philipp Max,D F M,0,24,Augsburg,2581,6.265789577737451,2.465568876825273,3.3044261503964663,7.862402884289622,1
65,1,14,4,276,10,4,1.553314920514822,Dong-Won Ji,F M S,0,22,Augsburg,898,0.7215120103210211,1.553314920514822,2.0206631273031235,4.055464880540967,2
