name,World Cup xG,World Cup goals,games,team_title,time,League,goals per 90 mins,npg per 90 mins,npxG per 90 mins,shots per 90 mins,xG per 90 mins,xGBuildup per 90 mins,xGChain per 90 mins
Aron Gunnarsson,0.19,0,28.0,Cardiff,2296.0,English Premier League,0.039198606271777,0.039198606271777,0.0923922487602728,0.7839721254355401,0.0923922487602728,0.06660016710328047,0.13126949560244405
Artem Dzyuba,1.06,3,27.0,Zenit St. Petersburg,2366.0,Russian Premier League,0.3043110735418428,0.3043110735418428,0.3263151566147653,2.4344885883347422,0.3263151566147653,0.3125364563623892,0.806358529983792
Ashley Young,0.11,0,30.0,Manchester United,2565.0,English Premier League,0.07017543859649122,0.07017543859649122,0.01734260953309243,0.4210526315789474,0.01734260953309243,0.2876927193352267,0.36968978829355104
Axel Witsel,0.21,0,33.0,Borussia Dortmund,2873.0,Bundesliga,0.12530455969369994,0.12530455969369994,0.09015945978968393,1.1277410372432997,0.09015945978968393,0.47893540846204,0.5661205204156398
Bartosz Bereszynski,0.06,0,27.0,Sampdoria,2196.0,Serie A,0.0,0.0,0.011116390337892731,0.3688524590163935,0.011116390337892731,0.2739776835822669,0.2868246923765687
Benjamin Pavard,0.16,1,29.0,VfB Stuttgart,2610.0,Bundesliga,0.0,0.0,0.014118277114526982,0.4137931034482759,0.014118277114526982,0.13594244574678355,0.14137801611474876
Bernardo Silva,0.21,0,36.0,Manchester City,2851.0,English Premier League,0.2209750964573834,0.2209750964573834,0.2587530763100497,1.9572079971939669,0.2587530763100497,0.5332289078909549,0.9448714965646704
Blaise Matuidi,0.28,0,31.0,Juventus,2445.0,Serie A,0.11042944785276074,0.11042944785276074,0.05913414771845736,0.6993865030674846,0.05913414771845736,0.3004848555050379,0.39497512626958775
Blerim Dzemaili,0.8600000000000001,1,28.0,Bologna,1747.0,Serie A,0.05151688609044075,0.05151688609044075,0.09397565880305236,2.266742987979393,0.09397565880305236,0.24088201677596224,0.3747660533642864
Breel Embolo,0.38,0,20.0,Schalke 04,1357.0,Bundesliga,0.3316138540899042,0.3316138540899042,0.3320132321956057,1.724392041267502,0.3320132321956057,0.052504044674012984,0.4469186915860249
Carlos Bacca,0.32,0,33.0,Villarreal,1250.0,La Liga,0.432,0.36,0.23112328925728806,2.232,0.2846392771303653,0.08932448056340216,0.3642758734077216
Casemiro,0.24,0,29.0,Real Madrid,2317.0,La Liga,0.11652999568407425,0.11652999568407425,0.06461681035999653,1.5537332757876563,0.06461681035999653,0.3400632957728916,0.37588946123349803
Chicharito,0.47,1,25.0,West Ham,1336.0,English Premier League,0.4715568862275449,0.4715568862275449,0.5318069550861231,2.4925149700598803,0.5318069550861231,0.05083073088118505,0.5176643457843694
Christian Cueva,0.16,0,15.0,FC Krasnodar,478.0,Russian Premier League,0.0,0.0,0.18706051284003086,1.6945606694560669,0.18706051284003086,0.5860341979369957,0.8814171953399562
Christian Eriksen,0.6300000000000001,1,35.0,Tottenham,2772.0,English Premier League,0.2597402597402597,0.2597402597402597,0.183800318363038,2.6948051948051948,0.183800318363038,0.29546032883468776,0.5404475844138629
Corentin Tolisso,0.09,0,2.0,Bayern Munich,51.0,Bundesliga,1.7647058823529411,1.7647058823529411,0.1322928465464536,1.7647058823529411,0.1322928465464536,0.050106139524894594,0.3763115975786657
Cristhian Stuani,0.06,0,32.0,Girona,2736.0,La Liga,0.625,0.4605263157894737,0.3515314234812793,2.5986842105263155,0.4737726219096466,0.1445265246653243,0.4254616308026016
Cristiano Ronaldo,1.5300000000000005,4,31.0,Juventus,2692.0,Serie A,0.7020802377414561,0.5349182763744428,0.6270675397551387,5.850668647845469,0.7797784514221491,0.23995561758748205,0.7306371793361245
Daler Kuzyaev,0.23,1,18.0,Zenit St. Petersburg,1408.0,Russian Premier League,0.1278409090909091,0.1278409090909091,0.06879446849449199,0.703125,0.06879446849449199,0.3253640324956822,0.3940972033226651
Daniel Carvajal,0.16,0,24.0,Real Madrid,2105.0,La Liga,0.04275534441805225,0.04275534441805225,0.015633232785375557,0.4703087885985748,0.015633232785375557,0.34755642198008474,0.4352564824802575
Danny Rose,0.06,0,26.0,Tottenham,1798.0,English Premier League,0.0,0.0,0.039919916554887636,0.7508342602892102,0.039919916554887636,0.1546907837443609,0.2448036503336819
Danny Welbeck,0.14,0,8.0,Arsenal,137.0,English Premier League,0.656934306569343,0.656934306569343,0.5209299421658481,2.627737226277372,0.5209299421658481,0.4630530965480491,1.1258479098986536
David Silva,0.7900000000000001,0,33.0,Manchester City,2426.0,English Premier League,0.2225886232481451,0.2225886232481451,0.3015432709418022,1.8920032976092331,0.3015432709418022,0.6991728026072839,1.1429051036646272
Davinson Sánchez,0.26,0,23.0,Tottenham,1943.0,English Premier League,0.04632012352032939,0.04632012352032939,0.07525137146312708,0.6484817292846115,0.07525137146312708,0.284255257329788,0.2854043871789357
Dawid Kownacki,0.19,0,10.0,Fortuna Duesseldorf,574.0,Bundesliga,0.627177700348432,0.627177700348432,0.2742955237237626,1.8815331010452965,0.2742955237237626,0.15512221350045774,0.3863308691656549
Dawid Kownacki,0.19,0,13.0,Sampdoria,145.0,Serie A,0.6206896551724138,0.0,0.14590426945480808,3.724137931034482,1.0908894554294388,0.7645817892304783,1.2590133247190505
Dejan Lovren,0.7500000000000002,0,13.0,Liverpool,988.0,English Premier League,0.09109311740890688,0.09109311740890688,0.08291277932644132,0.5465587044534413,0.08291277932644132,0.3025602943712642,0.31379840400839143
Dele Alli,0.46,1,25.0,Tottenham,1847.0,English Premier League,0.24363833243096916,0.24363833243096916,0.28995120301883026,1.9003789929615595,0.28995120301883026,0.26999770068176776,0.6312786573549187
Denis Cheryshev,1.0300000000000002,5,27.0,Valencia,1715.0,La Liga,0.10495626822157436,0.10495626822157436,0.20981962820270664,1.6793002915451896,0.20981962820270664,0.14378584628115587,0.6556525855778605
Diego Costa,1.77,3,16.0,Atletico Madrid,1120.0,La Liga,0.1607142857142857,0.1607142857142857,0.17737401591148225,1.2857142857142856,0.17737401591148225,0.09725757931093022,0.2777464982853936
Diego Godín,0.34,0,30.0,Atletico Madrid,2507.0,La Liga,0.10769844435580374,0.10769844435580374,0.11566906241684452,0.5025927403270841,0.11566906241684452,0.22497192467256372,0.2452938880297379
Diego Laxalt,0.03,0,20.0,AC Milan,634.0,Serie A,0.0,0.0,0.24034113044430405,0.8517350157728707,0.24034113044430405,0.28400266845637123,0.6033705012749422
Douglas Costa,0.18,0,17.0,Juventus,615.0,Serie A,0.14634146341463414,0.14634146341463414,0.11319443356336616,2.9268292682926838,0.11319443356336616,0.33280185446506605,0.5780600794568295
Dries Mertens,0.33,1,35.0,Napoli,2245.0,Serie A,0.6414253897550112,0.6013363028953229,0.4656142470134394,3.5679287305122496,0.4961340212509998,0.3223207731936583,0.9833785763761248
Eden Hazard,1.3600000000000003,3,37.0,Chelsea,2935.0,English Premier League,0.4906303236797274,0.3679727427597956,0.2837784509261788,2.8517887563884163,0.3771415778405622,0.35406859474830976,0.7766894488206713
Edinson Cavani,1.4600000000000004,3,21.0,Paris Saint Germain,1677.0,Ligue 1,0.9660107334525938,0.7513416815742396,0.6249477362430159,2.7906976744186047,0.8289088607367548,0.2086216114021584,0.957516742093832
Emil Forsberg,0.7900000000000003,1,20.0,RasenBallsport Leipzig,1255.0,Bundesliga,0.2868525896414343,0.07171314741035857,0.16877620178924138,2.151394422310757,0.3318038580872386,0.3439430319722667,0.7567765602463508
